productID,productName,productCategory,productModel,productBrand,productYear,productColor,productSize,productCondition,price,currencyCode_code,stockQuantity,image,productDescription
1,Yamaha YZF-R3,Motorcycle,YZF-R3,Yamaha,2022,Blue,300cc,New,5000.00,USD,10,/media/FJR1300ES.png,"The Yamaha YZF-R3 is a sport motorcycle that's perfect for beginners and experienced riders alike. It features a sleek, aerodynamic design and a powerful 300cc engine."
2,Yamaha MT-03,Motorcycle,MT-03,Yamaha,2022,Black,300cc,New,4600.00,USD,12,/media/YZ125.png,"The Yamaha MT-03 is a versatile motorcycle designed for both city riding and long-distance travel. It features a comfortable upright riding position and a responsive 300cc engine."
3,Yamaha YZ125,Dirt Bike,YZ125,Yamaha,2022,Blue,125cc,New,6500.00,USD,15,/media/YZF-R7.png,"The Yamaha YZ125 is a lightweight dirt bike that's perfect for off-road adventures. It features a powerful 125cc engine and a rugged, durable design."
4,Yamaha TT-R230,Dirt Bike,TT-R230,Yamaha,2022,Blue,230cc,New,4400.00,USD,8,/media/YZ125.png,"The Yamaha TT-R230 is a trail bike that's perfect for both beginners and experienced riders. It features a reliable 230cc engine and a comfortable riding position."
5,Yamaha WR250R,Dirt Bike,WR250R,Yamaha,2022,Blue,250cc,New,6700.00,USD,10,/media/FJR1300ES.png,"The Yamaha WR250R is a high-performance dirt bike designed for serious off-road riding. It features a powerful 250cc engine and a lightweight, agile design."
6,Yamaha FZ-07,Motorcycle,FZ-07,Yamaha,2022,Red,700cc,New,7500.00,USD,12,/media/YZF-R7.png,"The Yamaha FZ-07 is a sport motorcycle that's known for its versatility and power. It features a 700cc engine and a comfortable, upright riding position."
7,Yamaha FZ-09,Motorcycle,FZ-09,Yamaha,2022,Black,900cc,New,9000.00,USD,10,/media/YZ125.png,"The Yamaha FZ-09 is a sport motorcycle that's known for its power and agility. It features a 900cc engine and a sleek, aerodynamic design."
8,Yamaha FZ-10,Motorcycle,FZ-10,Yamaha,2022,Blue,1000cc,New,13000.00,USD,8,/media/FJR1300ES.png,"The Yamaha FZ-10 is a sport motorcycle that's known for its power and speed. It features a 1000cc engine and a sleek, aerodynamic design."
9,Yamaha YZ250,Dirt Bike,YZ250,Yamaha,2022,Blue,250cc,New,7800.00,USD,10,/media/YZ125.png,"The Yamaha YZ250 is a high-performance dirt bike designed for serious off-road riding. It features a powerful 250cc engine and a lightweight, agile design."
10,Yamaha YZ450,Dirt Bike,YZ450,Yamaha,2022,Blue,450cc,New,9300.00,USD,10,/media/YZF-R7.png,"The Yamaha YZ450 is a high-performance dirt bike designed for serious off-road riding. It features a powerful 450cc engine and a lightweight, agile design."
